,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,3.2067058086395264,2020-11-07 21:11:17.748836,2020-11-07 21:11:25.298521,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,3.5422139167785645,2020-11-07 21:11:25.299517,2020-11-07 21:11:31.055485,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,3.2038450241088867,2020-11-07 21:11:31.056482,2020-11-07 21:11:37.848331,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,2.564578056335449,2020-11-07 21:11:37.849328,2020-11-07 21:11:43.710510,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,2.977099657058716,2020-11-07 21:11:43.712504,2020-11-07 21:11:49.349545,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,3.28810453414917,2020-11-07 21:11:49.350515,2020-11-07 21:11:55.382807,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,2.519010543823242,2020-11-07 21:11:55.384802,2020-11-07 21:12:01.174084,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,3.6018826961517334,2020-11-07 21:12:01.176107,2020-11-07 21:12:07.753839,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,3.1985180377960205,2020-11-07 21:12:07.754837,2020-11-07 21:12:13.898556,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,2.5886006355285645,2020-11-07 21:12:13.900551,2020-11-07 21:12:19.347998,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,5.026289939880371,2020-11-07 21:12:19.348995,2020-11-07 21:12:24.815984,10.0,0.44083508239928126,0.4235618410276871,10
11,11,TrialState.COMPLETE,2.5557971000671387,2020-11-07 21:12:24.816982,2020-11-07 21:12:30.910652,25.0,0.3181234840084888,0.0008869040511104071,11
12,12,TrialState.COMPLETE,2.5438296794891357,2020-11-07 21:12:30.911650,2020-11-07 21:12:37.209056,30.0,0.6048040642764777,0.0013543981522081015,12
13,13,TrialState.COMPLETE,2.4860880374908447,2020-11-07 21:12:37.210053,2020-11-07 21:12:43.382479,35.0,0.6835418111924169,0.0018328560916857463,13
14,14,TrialState.COMPLETE,2.5089895725250244,2020-11-07 21:12:43.386468,2020-11-07 21:12:49.386090,40.0,0.7710685599354249,0.0017346004889306548,14
15,15,TrialState.COMPLETE,4.8748321533203125,2020-11-07 21:12:49.388085,2020-11-07 21:12:55.601168,50.0,0.23409212096937923,0.18202659532600185,15
16,16,TrialState.COMPLETE,2.652435302734375,2020-11-07 21:12:55.603163,2020-11-07 21:13:01.795944,45.0,0.999886620756627,0.004165953712988301,16
17,17,TrialState.COMPLETE,2.837719678878784,2020-11-07 21:13:01.799934,2020-11-07 21:13:08.367399,45.0,0.9709273761422844,0.0004174367920146798,17
18,18,TrialState.COMPLETE,4.7748613357543945,2020-11-07 21:13:08.370391,2020-11-07 21:13:13.790152,5.0,0.97730739326891,0.1340448477051973,18
19,19,TrialState.COMPLETE,2.9361023902893066,2020-11-07 21:13:13.793146,2020-11-07 21:13:19.735796,40.0,0.0012018856541092748,0.0068644809760694744,19
20,20,TrialState.COMPLETE,4.442259311676025,2020-11-07 21:13:19.739785,2020-11-07 21:13:25.713536,40.0,0.18442860126582103,0.06597681104413831,20
21,21,TrialState.COMPLETE,2.4795901775360107,2020-11-07 21:13:25.715531,2020-11-07 21:13:31.596974,35.0,0.08614462665887189,0.0019612864281208634,21
22,22,TrialState.COMPLETE,2.934380531311035,2020-11-07 21:13:31.599966,2020-11-07 21:13:38.092406,40.0,0.5249633796167819,0.0003738128878687458,22
23,23,TrialState.COMPLETE,2.5702157020568848,2020-11-07 21:13:38.094400,2020-11-07 21:13:44.254006,40.0,0.14270035559023514,0.0034165336179746396,23
24,24,TrialState.COMPLETE,2.9650967121124268,2020-11-07 21:13:44.256997,2020-11-07 21:13:50.119605,40.0,0.044318638709567114,0.00033419113456851086,24
