,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,2.8149917125701904,2020-11-07 20:59:14.756627,2020-11-07 20:59:20.109781,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,2.3108057975769043,2020-11-07 20:59:20.110778,2020-11-07 20:59:24.711631,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,2.849165439605713,2020-11-07 20:59:24.712628,2020-11-07 20:59:29.393704,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,2.3758115768432617,2020-11-07 20:59:29.401683,2020-11-07 20:59:34.594911,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,2.8073554039001465,2020-11-07 20:59:34.596906,2020-11-07 20:59:39.534293,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,2.420306921005249,2020-11-07 20:59:39.536288,2020-11-07 20:59:44.059137,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,2.863705635070801,2020-11-07 20:59:44.061132,2020-11-07 20:59:48.418094,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,2.4296019077301025,2020-11-07 20:59:48.419091,2020-11-07 20:59:52.773241,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,2.542226552963257,2020-11-07 20:59:52.775236,2020-11-07 20:59:57.122865,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,2.4053397178649902,2020-11-07 20:59:57.123863,2020-11-07 21:00:01.615343,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,2.552358627319336,2020-11-07 21:00:01.617338,2020-11-07 21:00:06.265481,5.0,0.6965053202072239,10
11,11,TrialState.COMPLETE,2.3463988304138184,2020-11-07 21:00:06.268472,2020-11-07 21:00:11.221597,50.0,0.008449002106762525,11
12,12,TrialState.COMPLETE,2.5468857288360596,2020-11-07 21:00:11.223591,2020-11-07 21:00:15.561124,15.0,0.3873809659998336,12
13,13,TrialState.COMPLETE,2.3220484256744385,2020-11-07 21:00:15.564114,2020-11-07 21:00:19.770681,5.0,0.004170224786156577,13
14,14,TrialState.COMPLETE,2.3762097358703613,2020-11-07 21:00:19.772665,2020-11-07 21:00:24.010689,5.0,0.0016928303890255446,14
15,15,TrialState.COMPLETE,2.4935038089752197,2020-11-07 21:00:24.012682,2020-11-07 21:00:28.277319,5.0,0.06978255587405881,15
16,16,TrialState.COMPLETE,2.3405649662017822,2020-11-07 21:00:28.279312,2020-11-07 21:00:32.643832,5.0,0.002430800338808319,16
17,17,TrialState.COMPLETE,2.4854836463928223,2020-11-07 21:00:32.646825,2020-11-07 21:00:37.272823,5.0,0.00020974395410288204,17
18,18,TrialState.COMPLETE,2.5220773220062256,2020-11-07 21:00:37.276813,2020-11-07 21:00:41.912692,20.0,0.1349699772393425,18
19,19,TrialState.COMPLETE,2.3214051723480225,2020-11-07 21:00:41.915685,2020-11-07 21:00:46.345500,5.0,0.0039978502320398915,19
20,20,TrialState.COMPLETE,2.5078256130218506,2020-11-07 21:00:46.347495,2020-11-07 21:00:50.677781,5.0,4.84797771873245e-05,20
21,21,TrialState.COMPLETE,2.321141004562378,2020-11-07 21:00:50.680773,2020-11-07 21:00:55.049518,5.0,0.0035956101363310124,21
22,22,TrialState.COMPLETE,2.4287631511688232,2020-11-07 21:00:55.054505,2020-11-07 21:00:59.897103,5.0,0.0007184361462046229,22
23,23,TrialState.COMPLETE,2.3323824405670166,2020-11-07 21:00:59.899097,2020-11-07 21:01:05.493419,20.0,0.0062032424133066965,23
24,24,TrialState.COMPLETE,2.48113751411438,2020-11-07 21:01:05.498406,2020-11-07 21:01:10.121483,5.0,0.05604232800023288,24
