,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,3.2106010913848877,2020-11-07 21:24:38.013770,2020-11-07 21:24:44.814318,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,3.5430729389190674,2020-11-07 21:24:44.815315,2020-11-07 21:24:50.559579,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,3.2061080932617188,2020-11-07 21:24:50.560576,2020-11-07 21:24:56.798455,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,2.5746006965637207,2020-11-07 21:24:56.800450,2020-11-07 21:25:02.391776,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,2.9919931888580322,2020-11-07 21:25:02.393771,2020-11-07 21:25:08.425091,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,3.2815325260162354,2020-11-07 21:25:08.426089,2020-11-07 21:25:14.381109,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,2.524595260620117,2020-11-07 21:25:14.383103,2020-11-07 21:25:19.933921,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,3.602757215499878,2020-11-07 21:25:19.934945,2020-11-07 21:25:25.872592,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,3.1947829723358154,2020-11-07 21:25:25.874586,2020-11-07 21:25:31.752183,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,2.5761830806732178,2020-11-07 21:25:31.754176,2020-11-07 21:25:37.615495,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,5.030150890350342,2020-11-07 21:25:37.616492,2020-11-07 21:25:43.157605,10.0,0.44083508239928126,0.4235618410276871,10
11,11,TrialState.COMPLETE,2.568796396255493,2020-11-07 21:25:43.159600,2020-11-07 21:25:48.699949,25.0,0.3181234840084888,0.0008869040511104071,11
12,12,TrialState.COMPLETE,2.550065517425537,2020-11-07 21:25:48.702911,2020-11-07 21:25:54.492448,30.0,0.6048040642764777,0.0013543981522081015,12
13,13,TrialState.COMPLETE,2.493553876876831,2020-11-07 21:25:54.496437,2020-11-07 21:26:00.302960,35.0,0.6835418111924169,0.0018328560916857463,13
14,14,TrialState.COMPLETE,2.51241397857666,2020-11-07 21:26:00.305951,2020-11-07 21:26:06.640028,40.0,0.7710685599354249,0.0017346004889306548,14
15,15,TrialState.COMPLETE,4.878005027770996,2020-11-07 21:26:06.642022,2020-11-07 21:26:13.065824,50.0,0.23409212096937923,0.18202659532600185,15
16,16,TrialState.COMPLETE,2.6578011512756348,2020-11-07 21:26:13.067818,2020-11-07 21:26:19.032767,45.0,0.999886620756627,0.004165953712988301,16
17,17,TrialState.COMPLETE,2.8466501235961914,2020-11-07 21:26:19.034762,2020-11-07 21:26:24.954788,45.0,0.9709273761422844,0.0004174367920146798,17
18,18,TrialState.COMPLETE,4.777685642242432,2020-11-07 21:26:24.958776,2020-11-07 21:26:30.025496,5.0,0.97730739326891,0.1340448477051973,18
19,19,TrialState.COMPLETE,2.939268112182617,2020-11-07 21:26:30.028451,2020-11-07 21:26:36.152137,40.0,0.0012018856541092748,0.0068644809760694744,19
20,20,TrialState.COMPLETE,4.444199562072754,2020-11-07 21:26:36.155129,2020-11-07 21:26:42.429721,40.0,0.18442860126582103,0.06597681104413831,20
21,21,TrialState.COMPLETE,2.4864418506622314,2020-11-07 21:26:42.431715,2020-11-07 21:26:48.940913,35.0,0.08614462665887189,0.0019612864281208634,21
22,22,TrialState.COMPLETE,2.9292869567871094,2020-11-07 21:26:48.943907,2020-11-07 21:26:55.003226,40.0,0.5249633796167819,0.0003738128878687458,22
23,23,TrialState.COMPLETE,2.5755648612976074,2020-11-07 21:26:55.005248,2020-11-07 21:27:00.806638,40.0,0.14270035559023514,0.0034165336179746396,23
24,24,TrialState.COMPLETE,2.9646365642547607,2020-11-07 21:27:00.810627,2020-11-07 21:27:07.328846,40.0,0.044318638709567114,0.00033419113456851086,24
