,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,2.7985751628875732,2020-11-07 21:16:29.359251,2020-11-07 21:16:35.315177,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,2.324030876159668,2020-11-07 21:16:35.316175,2020-11-07 21:16:40.027320,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,2.8259310722351074,2020-11-07 21:16:40.028317,2020-11-07 21:16:44.551385,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,2.385554790496826,2020-11-07 21:16:44.552385,2020-11-07 21:16:49.569847,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,2.803280830383301,2020-11-07 21:16:49.570844,2020-11-07 21:16:54.038714,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,2.428556203842163,2020-11-07 21:16:54.040709,2020-11-07 21:16:58.500120,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,2.8582205772399902,2020-11-07 21:16:58.501117,2020-11-07 21:17:03.072191,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,2.4375410079956055,2020-11-07 21:17:03.073191,2020-11-07 21:17:07.782163,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,2.527400493621826,2020-11-07 21:17:07.784156,2020-11-07 21:17:12.413078,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,2.4137465953826904,2020-11-07 21:17:12.414075,2020-11-07 21:17:17.002712,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,2.5567240715026855,2020-11-07 21:17:17.003709,2020-11-07 21:17:21.377787,5.0,0.6965053202072239,10
11,11,TrialState.COMPLETE,2.356630802154541,2020-11-07 21:17:21.379782,2020-11-07 21:17:26.454548,50.0,0.008449002106762525,11
12,12,TrialState.COMPLETE,2.5504274368286133,2020-11-07 21:17:26.457541,2020-11-07 21:17:30.881309,15.0,0.3873809659998336,12
13,13,TrialState.COMPLETE,2.3327181339263916,2020-11-07 21:17:30.883303,2020-11-07 21:17:35.655496,5.0,0.004170224786156577,13
14,14,TrialState.COMPLETE,2.3791253566741943,2020-11-07 21:17:35.658489,2020-11-07 21:17:40.030172,5.0,0.0016928303890255446,14
15,15,TrialState.COMPLETE,2.499199390411377,2020-11-07 21:17:40.034161,2020-11-07 21:17:44.435161,5.0,0.06978255587405881,15
16,16,TrialState.COMPLETE,2.3482115268707275,2020-11-07 21:17:44.439150,2020-11-07 21:17:48.921012,5.0,0.002430800338808319,16
17,17,TrialState.COMPLETE,2.487842559814453,2020-11-07 21:17:48.923007,2020-11-07 21:17:53.008412,5.0,0.00020974395410288204,17
18,18,TrialState.COMPLETE,2.527068853378296,2020-11-07 21:17:53.013399,2020-11-07 21:17:57.231224,20.0,0.1349699772393425,18
19,19,TrialState.COMPLETE,2.332158088684082,2020-11-07 21:17:57.233218,2020-11-07 21:18:01.385517,5.0,0.0039978502320398915,19
20,20,TrialState.COMPLETE,2.510697841644287,2020-11-07 21:18:01.390504,2020-11-07 21:18:05.855758,5.0,4.84797771873245e-05,20
21,21,TrialState.COMPLETE,2.331878185272217,2020-11-07 21:18:05.857753,2020-11-07 21:18:10.318958,5.0,0.0035956101363310124,21
22,22,TrialState.COMPLETE,2.430638551712036,2020-11-07 21:18:10.320953,2020-11-07 21:18:14.420162,5.0,0.0007184361462046229,22
23,23,TrialState.COMPLETE,2.3428280353546143,2020-11-07 21:18:14.423126,2020-11-07 21:18:18.625279,20.0,0.0062032424133066965,23
24,24,TrialState.COMPLETE,2.4872548580169678,2020-11-07 21:18:18.629268,2020-11-07 21:18:22.699313,5.0,0.05604232800023288,24
