,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,2.4787628650665283,2020-11-07 21:34:20.709161,2020-11-07 21:34:27.132013,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,2.8711729049682617,2020-11-07 21:34:27.133010,2020-11-07 21:34:32.783591,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,2.5874359607696533,2020-11-07 21:34:32.784588,2020-11-07 21:34:39.321802,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,2.0848681926727295,2020-11-07 21:34:39.322800,2020-11-07 21:34:44.886957,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,2.489915370941162,2020-11-07 21:34:44.887954,2020-11-07 21:34:50.295933,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,2.7387075424194336,2020-11-07 21:34:50.296930,2020-11-07 21:34:56.010092,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,2.1152758598327637,2020-11-07 21:34:56.011089,2020-11-07 21:35:01.731687,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,2.9259581565856934,2020-11-07 21:35:01.732684,2020-11-07 21:35:08.389793,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,2.6115903854370117,2020-11-07 21:35:08.390790,2020-11-07 21:35:14.519039,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,2.154789447784424,2020-11-07 21:35:14.520036,2020-11-07 21:35:19.915057,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,2.0187106132507324,2020-11-07 21:35:19.919046,2020-11-07 21:35:25.207325,5.0,0.8476613775281227,0.0008604131501987842,10
11,11,TrialState.COMPLETE,2.035461664199829,2020-11-07 21:35:25.210318,2020-11-07 21:35:30.286347,5.0,0.8350780060252924,0.0005809480397369592,11
12,12,TrialState.COMPLETE,1.9977695941925049,2020-11-07 21:35:30.287345,2020-11-07 21:35:35.852773,5.0,0.9193359212006599,0.0012266824249063276,12
13,13,TrialState.COMPLETE,4.541996002197266,2020-11-07 21:35:35.855764,2020-11-07 21:35:41.392691,5.0,0.9205476990166318,0.7604634207562713,13
14,14,TrialState.COMPLETE,1.9774419069290161,2020-11-07 21:35:41.396681,2020-11-07 21:35:46.536706,5.0,0.36126414903840076,0.0024775848875686346,14
15,15,TrialState.COMPLETE,4.188811779022217,2020-11-07 21:35:46.538701,2020-11-07 21:35:51.682431,5.0,0.28035461481697227,0.1349699772393425,15
16,16,TrialState.COMPLETE,2.0525271892547607,2020-11-07 21:35:51.684426,2020-11-07 21:35:57.094261,20.0,0.36936360750522734,0.003574709734073838,16
17,17,TrialState.COMPLETE,4.222569942474365,2020-11-07 21:35:57.097252,2020-11-07 21:36:02.360509,5.0,0.42821584206695235,0.14587104877263643,17
18,18,TrialState.COMPLETE,2.129578113555908,2020-11-07 21:36:02.365496,2020-11-07 21:36:08.056808,5.0,0.2083628072937028,0.005092131130788429,18
19,19,TrialState.COMPLETE,2.079660415649414,2020-11-07 21:36:08.059800,2020-11-07 21:36:13.937385,20.0,0.5256010861583711,0.00039643747792104033,19
20,20,TrialState.COMPLETE,3.9768404960632324,2020-11-07 21:36:13.941375,2020-11-07 21:36:19.036803,5.0,0.14117795480865541,0.08918493422065958,20
21,21,TrialState.COMPLETE,2.0068719387054443,2020-11-07 21:36:19.039795,2020-11-07 21:36:24.087407,5.0,0.9304316668408321,0.0011251013476473969,21
22,22,TrialState.COMPLETE,1.9752166271209717,2020-11-07 21:36:24.089402,2020-11-07 21:36:29.248724,5.0,0.9593916804609135,0.002381695356551411,22
23,23,TrialState.COMPLETE,2.117666006088257,2020-11-07 21:36:29.253710,2020-11-07 21:36:34.663040,5.0,0.5338795601928779,0.004935066862899098,23
24,24,TrialState.COMPLETE,2.226090908050537,2020-11-07 21:36:34.668027,2020-11-07 21:36:40.484652,20.0,0.0011014347693080013,0.0003422183096766546,24
