,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,2.1168274879455566,2020-11-07 21:29:19.118490,2020-11-07 21:29:24.328892,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.9900920391082764,2020-11-07 21:29:24.329890,2020-11-07 21:29:28.717866,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,2.129072904586792,2020-11-07 21:29:28.718865,2020-11-07 21:29:33.377144,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,1.962006688117981,2020-11-07 21:29:33.378141,2020-11-07 21:29:38.369434,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,2.098479747772217,2020-11-07 21:29:38.370431,2020-11-07 21:29:42.941199,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,1.9843034744262695,2020-11-07 21:29:42.943193,2020-11-07 21:29:47.181824,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,2.129399299621582,2020-11-07 21:29:47.182822,2020-11-07 21:29:51.480652,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,1.9884063005447388,2020-11-07 21:29:51.481649,2020-11-07 21:29:55.785707,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,2.026522636413574,2020-11-07 21:29:55.786705,2020-11-07 21:29:59.981447,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,2.0274648666381836,2020-11-07 21:29:59.982445,2020-11-07 21:30:04.551267,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,2.059159994125366,2020-11-07 21:30:04.553262,2020-11-07 21:30:09.474276,50.0,0.9755050812991782,10
11,11,TrialState.COMPLETE,2.0332083702087402,2020-11-07 21:30:09.476270,2020-11-07 21:30:13.714726,5.0,0.11558260808965456,11
12,12,TrialState.COMPLETE,1.9789843559265137,2020-11-07 21:30:13.716694,2020-11-07 21:30:17.843696,5.0,0.020093552094666928,12
13,13,TrialState.COMPLETE,1.960561752319336,2020-11-07 21:30:17.844693,2020-11-07 21:30:21.948382,5.0,0.011408407679699728,13
14,14,TrialState.COMPLETE,2.0458242893218994,2020-11-07 21:30:21.950379,2020-11-07 21:30:26.073519,5.0,0.2355790538661357,14
15,15,TrialState.COMPLETE,1.9320422410964966,2020-11-07 21:30:26.075487,2020-11-07 21:30:30.576018,50.0,0.005368500284484103,15
16,16,TrialState.COMPLETE,1.8933321237564087,2020-11-07 21:30:30.578012,2020-11-07 21:30:35.186823,5.0,0.0021919998950579796,16
17,17,TrialState.COMPLETE,1.9013893604278564,2020-11-07 21:30:35.190814,2020-11-07 21:30:40.311164,45.0,0.0030738047192158838,17
18,18,TrialState.COMPLETE,2.1999833583831787,2020-11-07 21:30:40.316153,2020-11-07 21:30:44.753827,45.0,0.0002725607674344199,18
19,19,TrialState.COMPLETE,1.9873335361480713,2020-11-07 21:30:44.757816,2020-11-07 21:30:48.912928,5.0,2.888574143074313e-05,19
20,20,TrialState.COMPLETE,1.9580626487731934,2020-11-07 21:30:48.914923,2020-11-07 21:30:53.088334,5.0,0.0008061050049524191,20
21,21,TrialState.COMPLETE,1.9020079374313354,2020-11-07 21:30:53.091328,2020-11-07 21:30:57.669515,50.0,0.0029280980325675117,21
22,22,TrialState.COMPLETE,1.90278160572052,2020-11-07 21:30:57.673505,2020-11-07 21:31:02.112522,45.0,0.0032403483940109086,22
23,23,TrialState.COMPLETE,2.033040761947632,2020-11-07 21:31:02.117508,2020-11-07 21:31:06.838673,45.0,0.11479922846416794,23
24,24,TrialState.COMPLETE,2.115483045578003,2020-11-07 21:31:06.840668,2020-11-07 21:31:11.548210,40.0,0.0005165183902297054,24
