,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,1.7205528020858765,2020-11-07 21:44:16.359291,2020-11-07 21:44:22.812437,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.38563871383667,2020-11-07 21:44:22.813434,2020-11-07 21:44:28.499474,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,1.3198368549346924,2020-11-07 21:44:28.499474,2020-11-07 21:44:34.868932,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,1.3147310018539429,2020-11-07 21:44:34.870927,2020-11-07 21:44:40.721911,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,1.6186598539352417,2020-11-07 21:44:40.722909,2020-11-07 21:44:46.275522,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,1.7413370609283447,2020-11-07 21:44:46.276518,2020-11-07 21:44:52.294508,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,1.2951823472976685,2020-11-07 21:44:52.296502,2020-11-07 21:44:57.949593,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,1.4020389318466187,2020-11-07 21:44:57.950590,2020-11-07 21:45:04.171484,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,1.546158790588379,2020-11-07 21:45:04.174476,2020-11-07 21:45:10.524253,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,1.4174550771713257,2020-11-07 21:45:10.526247,2020-11-07 21:45:15.891079,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,2.1334736347198486,2020-11-07 21:45:15.893073,2020-11-07 21:45:21.072706,10.0,0.44083508239928126,0.4235618410276871,10
11,11,TrialState.COMPLETE,1.3401463031768799,2020-11-07 21:45:21.074700,2020-11-07 21:45:26.710089,25.0,0.3181234840084888,0.0008869040511104071,11
12,12,TrialState.COMPLETE,1.2936993837356567,2020-11-07 21:45:26.713094,2020-11-07 21:45:32.332302,20.0,0.16376442797241736,0.0010069424705032128,12
13,13,TrialState.COMPLETE,1.254258155822754,2020-11-07 21:45:32.336292,2020-11-07 21:45:38.397125,5.0,0.15167734113676107,0.0018328560916857463,13
14,14,TrialState.COMPLETE,1.2509934902191162,2020-11-07 21:45:38.401115,2020-11-07 21:45:44.010155,5.0,0.8669485971424604,0.0017346004889306548,14
15,15,TrialState.COMPLETE,2.011751651763916,2020-11-07 21:45:44.012150,2020-11-07 21:45:49.163754,5.0,0.6542791917281334,0.18202659532600185,15
16,16,TrialState.COMPLETE,1.265529990196228,2020-11-07 21:45:49.165749,2020-11-07 21:45:54.341767,5.0,0.24756804167333704,0.00408261459812197,16
17,17,TrialState.COMPLETE,1.8759984970092773,2020-11-07 21:45:54.344759,2020-11-07 21:45:59.472178,5.0,0.9709273761422844,0.1007841616994473,17
18,18,TrialState.COMPLETE,1.2928071022033691,2020-11-07 21:45:59.475150,2020-11-07 21:46:05.178155,5.0,0.8864344671696884,0.0003248266008638254,18
19,19,TrialState.COMPLETE,1.2664693593978882,2020-11-07 21:46:05.181146,2020-11-07 21:46:11.070341,5.0,0.0012018856541092748,0.003982412575963335,19
20,20,TrialState.COMPLETE,1.2860071659088135,2020-11-07 21:46:11.074325,2020-11-07 21:46:16.299913,5.0,0.14727716067795335,0.0003359929491647705,20
21,21,TrialState.COMPLETE,1.281209111213684,2020-11-07 21:46:16.303904,2020-11-07 21:46:21.956578,5.0,0.3376992628662721,0.005711343624606874,21
22,22,TrialState.COMPLETE,1.2589497566223145,2020-11-07 21:46:21.958573,2020-11-07 21:46:27.258551,5.0,0.2484870460405155,0.0036985496586020854,22
23,23,TrialState.COMPLETE,1.7036080360412598,2020-11-07 21:46:27.262542,2020-11-07 21:46:33.050510,5.0,0.5069009432834839,0.05694497290326265,23
24,24,TrialState.COMPLETE,1.2923834323883057,2020-11-07 21:46:33.055495,2020-11-07 21:46:40.065881,5.0,0.04596648882502319,0.0003706233522358953,24
