,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,1.3895007371902466,2020-11-07 21:48:56.690728,2020-11-07 21:49:02.312259,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.254967451095581,2020-11-07 21:49:02.313256,2020-11-07 21:49:07.449886,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,1.3781683444976807,2020-11-07 21:49:07.450883,2020-11-07 21:49:12.898458,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,1.3225758075714111,2020-11-07 21:49:12.900452,2020-11-07 21:49:17.650482,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,1.3689615726470947,2020-11-07 21:49:17.651478,2020-11-07 21:49:22.148058,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,1.3578696250915527,2020-11-07 21:49:22.149055,2020-11-07 21:49:27.298420,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,1.3930772542953491,2020-11-07 21:49:27.299416,2020-11-07 21:49:34.148773,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,1.3649520874023438,2020-11-07 21:49:34.150767,2020-11-07 21:49:40.031488,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,1.3620338439941406,2020-11-07 21:49:40.034481,2020-11-07 21:49:45.808488,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,1.2400134801864624,2020-11-07 21:49:45.810483,2020-11-07 21:49:50.799738,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,1.4481945037841797,2020-11-07 21:49:50.802731,2020-11-07 21:49:55.608915,40.0,0.4235618410276871,10
11,11,TrialState.COMPLETE,1.2512270212173462,2020-11-07 21:49:55.610908,2020-11-07 21:50:00.105399,10.0,0.0023116048973968657,11
12,12,TrialState.COMPLETE,1.2450644969940186,2020-11-07 21:50:00.108392,2020-11-07 21:50:05.506014,5.0,0.0022434836342135928,12
13,13,TrialState.COMPLETE,1.442744255065918,2020-11-07 21:50:05.511000,2020-11-07 21:50:11.418875,10.0,0.2589474101263842,13
14,14,TrialState.COMPLETE,1.288954257965088,2020-11-07 21:50:11.420869,2020-11-07 21:50:16.734865,5.0,0.006149095439128331,14
15,15,TrialState.COMPLETE,1.2976454496383667,2020-11-07 21:50:16.737857,2020-11-07 21:50:21.471084,5.0,0.0003119583643028578,15
16,16,TrialState.COMPLETE,1.4252969026565552,2020-11-07 21:50:21.474076,2020-11-07 21:50:26.429389,35.0,0.109446049347912,16
17,17,TrialState.COMPLETE,1.3124213218688965,2020-11-07 21:50:26.432381,2020-11-07 21:50:30.779193,5.0,5.556665175647029e-05,17
18,18,TrialState.COMPLETE,1.2948620319366455,2020-11-07 21:50:30.782185,2020-11-07 21:50:36.277038,35.0,0.0009652187563114911,18
19,19,TrialState.COMPLETE,1.4105442762374878,2020-11-07 21:50:36.282025,2020-11-07 21:50:42.043430,5.0,0.06937299027879042,19
20,20,TrialState.COMPLETE,1.2768958806991577,2020-11-07 21:50:42.048417,2020-11-07 21:50:47.584570,35.0,0.004097677410338877,20
21,21,TrialState.COMPLETE,1.2761132717132568,2020-11-07 21:50:47.587560,2020-11-07 21:50:52.833071,5.0,0.0010357777872761756,21
22,22,TrialState.COMPLETE,1.2730659246444702,2020-11-07 21:50:52.836063,2020-11-07 21:50:57.478857,5.0,0.0033907631166925174,22
23,23,TrialState.COMPLETE,1.3123897314071655,2020-11-07 21:50:57.480851,2020-11-07 21:51:02.099399,5.0,5.602135317094645e-05,23
24,24,TrialState.COMPLETE,1.2791330814361572,2020-11-07 21:51:02.102391,2020-11-07 21:51:07.778520,5.0,0.0008010489448431625,24
