,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,2.895634412765503,2020-11-07 22:31:54.397675,2020-11-07 22:32:00.871285,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,3.3460559844970703,2020-11-07 22:32:00.872282,2020-11-07 22:32:07.058803,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,3.0361216068267822,2020-11-07 22:32:07.060799,2020-11-07 22:32:13.670963,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,2.3716580867767334,2020-11-07 22:32:13.671960,2020-11-07 22:32:19.144255,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,2.7624356746673584,2020-11-07 22:32:19.145252,2020-11-07 22:32:24.634105,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,3.0588207244873047,2020-11-07 22:32:24.636099,2020-11-07 22:32:30.740035,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,2.391730546951294,2020-11-07 22:32:30.741033,2020-11-07 22:32:36.932998,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,3.405892848968506,2020-11-07 22:32:36.934992,2020-11-07 22:32:43.283596,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,2.9609830379486084,2020-11-07 22:32:43.286562,2020-11-07 22:32:49.044137,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,2.405881404876709,2020-11-07 22:32:49.047129,2020-11-07 22:32:54.304785,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,2.2658841609954834,2020-11-07 22:32:54.305782,2020-11-07 22:32:59.380920,5.0,0.8476613775281227,0.0008604131501987842,10
11,11,TrialState.COMPLETE,2.290165424346924,2020-11-07 22:32:59.382915,2020-11-07 22:33:04.817903,5.0,0.8350780060252924,0.0005809480397369592,11
12,12,TrialState.COMPLETE,2.2416884899139404,2020-11-07 22:33:04.821892,2020-11-07 22:33:10.486526,5.0,0.9193359212006599,0.0012266824249063276,12
13,13,TrialState.COMPLETE,5.128675937652588,2020-11-07 22:33:10.490516,2020-11-07 22:33:15.818639,5.0,0.9205476990166318,0.7604634207562713,13
14,14,TrialState.COMPLETE,2.2519547939300537,2020-11-07 22:33:15.820634,2020-11-07 22:33:21.179819,5.0,0.36126414903840076,0.0024775848875686346,14
15,15,TrialState.COMPLETE,4.759650230407715,2020-11-07 22:33:21.181814,2020-11-07 22:33:26.559684,5.0,0.28035461481697227,0.1349699772393425,15
16,16,TrialState.COMPLETE,2.367586612701416,2020-11-07 22:33:26.561679,2020-11-07 22:33:31.970455,20.0,0.36936360750522734,0.003574709734073838,16
17,17,TrialState.COMPLETE,4.7952141761779785,2020-11-07 22:33:31.974443,2020-11-07 22:33:37.588124,5.0,0.42821584206695235,0.14587104877263643,17
18,18,TrialState.COMPLETE,2.479809522628784,2020-11-07 22:33:37.591114,2020-11-07 22:33:43.122529,5.0,0.2083628072937028,0.005092131130788429,18
19,19,TrialState.COMPLETE,2.3809726238250732,2020-11-07 22:33:43.124523,2020-11-07 22:33:49.576942,20.0,0.5256010861583711,0.00039643747792104033,19
20,20,TrialState.COMPLETE,4.535563945770264,2020-11-07 22:33:49.581928,2020-11-07 22:33:55.446615,5.0,0.14117795480865541,0.08918493422065958,20
21,21,TrialState.COMPLETE,2.2467546463012695,2020-11-07 22:33:55.449606,2020-11-07 22:34:00.749650,5.0,0.9304316668408321,0.0011251013476473969,21
22,22,TrialState.COMPLETE,2.246817111968994,2020-11-07 22:34:00.751644,2020-11-07 22:34:06.685356,5.0,0.9593916804609135,0.002381695356551411,22
23,23,TrialState.COMPLETE,2.2966465950012207,2020-11-07 22:34:06.691340,2020-11-07 22:34:12.395349,5.0,0.9645508359284227,0.00026465740760869973,23
24,24,TrialState.COMPLETE,2.7609713077545166,2020-11-07 22:34:12.400335,2020-11-07 22:34:18.427058,20.0,0.0011014347693080013,0.007373325360064653,24
