,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,2.427880048751831,2020-11-07 21:55:53.563328,2020-11-07 21:55:58.918675,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,2.2679972648620605,2020-11-07 21:55:58.919673,2020-11-07 21:56:03.655321,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,2.439016580581665,2020-11-07 21:56:03.657316,2020-11-07 21:56:08.573083,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,2.2694082260131836,2020-11-07 21:56:08.574081,2020-11-07 21:56:13.303288,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,2.4165821075439453,2020-11-07 21:56:13.304285,2020-11-07 21:56:17.612106,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,2.3141024112701416,2020-11-07 21:56:17.613103,2020-11-07 21:56:21.915896,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,2.454625368118286,2020-11-07 21:56:21.917891,2020-11-07 21:56:26.224873,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,2.322469472885132,2020-11-07 21:56:26.226868,2020-11-07 21:56:30.612700,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,2.3247649669647217,2020-11-07 21:56:30.614694,2020-11-07 21:56:35.565079,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,2.3223655223846436,2020-11-07 21:56:35.567074,2020-11-07 21:56:40.571721,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,2.4388809204101562,2020-11-07 21:56:40.572718,2020-11-07 21:56:44.845319,5.0,0.6965053202072239,10
11,11,TrialState.COMPLETE,2.2387337684631348,2020-11-07 21:56:44.847313,2020-11-07 21:56:49.371081,50.0,0.008449002106762525,11
12,12,TrialState.COMPLETE,2.4311554431915283,2020-11-07 21:56:49.373076,2020-11-07 21:56:54.020722,15.0,0.3873809659998336,12
13,13,TrialState.COMPLETE,2.2018611431121826,2020-11-07 21:56:54.022716,2020-11-07 21:56:58.265888,5.0,0.004170224786156577,13
14,14,TrialState.COMPLETE,2.408773899078369,2020-11-07 21:56:58.267883,2020-11-07 21:57:02.833081,5.0,0.14383819293006211,14
15,15,TrialState.COMPLETE,2.2252211570739746,2020-11-07 21:57:02.836073,2020-11-07 21:57:07.560279,5.0,0.0059322412680154896,15
16,16,TrialState.COMPLETE,2.382755994796753,2020-11-07 21:57:07.563271,2020-11-07 21:57:12.099083,5.0,0.0758502286507818,16
17,17,TrialState.COMPLETE,2.164175510406494,2020-11-07 21:57:12.101078,2020-11-07 21:57:16.342129,5.0,0.0033965819575076206,17
18,18,TrialState.COMPLETE,2.2499401569366455,2020-11-07 21:57:16.345121,2020-11-07 21:57:20.650924,5.0,0.0003527362280373146,18
19,19,TrialState.COMPLETE,2.26639986038208,2020-11-07 21:57:20.654914,2020-11-07 21:57:24.976896,5.0,5.0570070592857425e-05,19
20,20,TrialState.COMPLETE,2.150226354598999,2020-11-07 21:57:24.979887,2020-11-07 21:57:29.278567,5.0,0.003105982203766913,20
21,21,TrialState.COMPLETE,2.139374017715454,2020-11-07 21:57:29.280560,2020-11-07 21:57:34.046270,5.0,0.0026664942783502735,21
22,22,TrialState.COMPLETE,2.238102912902832,2020-11-07 21:57:34.048264,2020-11-07 21:57:38.845370,5.0,0.0006651746880393619,22
23,23,TrialState.COMPLETE,2.1619558334350586,2020-11-07 21:57:38.848363,2020-11-07 21:57:43.772453,5.0,0.0020390550862028796,23
24,24,TrialState.COMPLETE,2.259610176086426,2020-11-07 21:57:43.777440,2020-11-07 21:57:48.682071,5.0,0.00014402055740206604,24
