,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,2.863457441329956,2020-11-07 22:57:22.427847,2020-11-07 22:57:28.883556,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,3.339841365814209,2020-11-07 22:57:28.884552,2020-11-07 22:57:34.743795,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,3.029722213745117,2020-11-07 22:57:34.744793,2020-11-07 22:57:41.293825,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,2.392232656478882,2020-11-07 22:57:41.294823,2020-11-07 22:57:46.750372,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,2.711115837097168,2020-11-07 22:57:46.751370,2020-11-07 22:57:52.252431,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,3.02528715133667,2020-11-07 22:57:52.253427,2020-11-07 22:57:58.079482,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,2.386178970336914,2020-11-07 22:57:58.081477,2020-11-07 22:58:04.360507,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,3.399631977081299,2020-11-07 22:58:04.362501,2020-11-07 22:58:11.010973,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,2.980562686920166,2020-11-07 22:58:11.012968,2020-11-07 22:58:17.492783,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,2.456547498703003,2020-11-07 22:58:17.494777,2020-11-07 22:58:22.816932,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,5.114107131958008,2020-11-07 22:58:22.818927,2020-11-07 22:58:28.135041,10.0,0.44083508239928126,0.4235618410276871,10
11,11,TrialState.COMPLETE,2.4157989025115967,2020-11-07 22:58:28.136038,2020-11-07 22:58:34.267327,25.0,0.3181234840084888,0.0008869040511104071,11
12,12,TrialState.COMPLETE,2.330503225326538,2020-11-07 22:58:34.269322,2020-11-07 22:58:40.504192,20.0,0.16376442797241736,0.0010069424705032128,12
13,13,TrialState.COMPLETE,2.226834297180176,2020-11-07 22:58:40.506186,2020-11-07 22:58:45.852551,5.0,0.15167734113676107,0.0018328560916857463,13
14,14,TrialState.COMPLETE,2.226428747177124,2020-11-07 22:58:45.855542,2020-11-07 22:58:50.971606,5.0,0.8669485971424604,0.0017346004889306548,14
15,15,TrialState.COMPLETE,4.8760905265808105,2020-11-07 22:58:50.974596,2020-11-07 22:58:56.144861,5.0,0.6542791917281334,0.18202659532600185,15
16,16,TrialState.COMPLETE,2.3720760345458984,2020-11-07 22:58:56.147852,2020-11-07 22:59:01.358749,5.0,0.24756804167333704,0.00408261459812197,16
17,17,TrialState.COMPLETE,4.5982136726379395,2020-11-07 22:59:01.361741,2020-11-07 22:59:07.120419,5.0,0.9709273761422844,0.1007841616994473,17
18,18,TrialState.COMPLETE,2.3163652420043945,2020-11-07 22:59:07.124407,2020-11-07 22:59:13.547557,5.0,0.8864344671696884,0.0003248266008638254,18
19,19,TrialState.COMPLETE,2.3613460063934326,2020-11-07 22:59:13.552545,2020-11-07 22:59:18.914399,5.0,0.0012018856541092748,0.003982412575963335,19
20,20,TrialState.COMPLETE,2.2863287925720215,2020-11-07 22:59:18.918996,2020-11-07 22:59:24.144672,5.0,0.14727716067795335,0.0003359929491647705,20
21,21,TrialState.COMPLETE,2.300518035888672,2020-11-07 22:59:24.149165,2020-11-07 22:59:29.254862,5.0,0.052102852931794175,0.00028539485086157213,21
22,22,TrialState.COMPLETE,2.3752024173736572,2020-11-07 22:59:29.258850,2020-11-07 22:59:35.399034,5.0,0.15238813027145182,0.004124458707094726,22
23,23,TrialState.COMPLETE,2.261132001876831,2020-11-07 22:59:35.405019,2020-11-07 22:59:42.109674,5.0,0.47587483275658493,1.9665799509454618e-05,23
24,24,TrialState.COMPLETE,2.258171558380127,2020-11-07 22:59:42.115657,2020-11-07 22:59:47.429942,5.0,0.652315050197512,1.5358276883597593e-06,24
