,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,2.432645082473755,2020-11-07 22:37:33.280114,2020-11-07 22:37:38.963713,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,2.2659778594970703,2020-11-07 22:37:38.964711,2020-11-07 22:37:43.383299,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,2.4429659843444824,2020-11-07 22:37:43.385259,2020-11-07 22:37:47.954201,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,2.2620410919189453,2020-11-07 22:37:47.956195,2020-11-07 22:37:52.505733,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,2.4209909439086914,2020-11-07 22:37:52.506731,2020-11-07 22:37:57.168328,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,2.30690860748291,2020-11-07 22:37:57.169299,2020-11-07 22:38:01.474926,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,2.4591798782348633,2020-11-07 22:38:01.476921,2020-11-07 22:38:06.582014,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,2.315401554107666,2020-11-07 22:38:06.584007,2020-11-07 22:38:11.601363,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,2.3255906105041504,2020-11-07 22:38:11.603355,2020-11-07 22:38:15.906918,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,2.3187742233276367,2020-11-07 22:38:15.909912,2020-11-07 22:38:20.335780,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,2.4373221397399902,2020-11-07 22:38:20.337775,2020-11-07 22:38:24.938170,50.0,0.9755050812991782,10
11,11,TrialState.COMPLETE,2.2282228469848633,2020-11-07 22:38:24.940165,2020-11-07 22:38:29.109332,10.0,0.007343270858258365,11
12,12,TrialState.COMPLETE,2.3469932079315186,2020-11-07 22:38:29.111326,2020-11-07 22:38:33.968773,5.0,0.043626450537492326,12
13,13,TrialState.COMPLETE,2.414702892303467,2020-11-07 22:38:33.970768,2020-11-07 22:38:38.586518,5.0,0.21387956464244687,13
14,14,TrialState.COMPLETE,2.216876745223999,2020-11-07 22:38:38.590507,2020-11-07 22:38:43.379372,5.0,0.00571183901848921,14
15,15,TrialState.COMPLETE,2.2119035720825195,2020-11-07 22:38:43.381366,2020-11-07 22:38:47.551264,5.0,0.005155881591354915,15
16,16,TrialState.COMPLETE,2.41758131980896,2020-11-07 22:38:47.554254,2020-11-07 22:38:51.727177,5.0,0.24195828294381075,16
17,17,TrialState.COMPLETE,2.1819727420806885,2020-11-07 22:38:51.730169,2020-11-07 22:38:56.284582,5.0,0.003789286007462955,17
18,18,TrialState.COMPLETE,2.250478744506836,2020-11-07 22:38:56.287573,2020-11-07 22:39:01.316156,5.0,0.00039351868141225603,18
19,19,TrialState.COMPLETE,2.2667980194091797,2020-11-07 22:39:01.321144,2020-11-07 22:39:06.258703,5.0,6.252259995882201e-05,19
20,20,TrialState.COMPLETE,2.1641151905059814,2020-11-07 22:39:06.260697,2020-11-07 22:39:10.946535,5.0,0.0034650878593252697,20
21,21,TrialState.COMPLETE,2.1455636024475098,2020-11-07 22:39:10.948556,2020-11-07 22:39:15.254808,5.0,0.0029747874729179275,21
22,22,TrialState.COMPLETE,2.229590892791748,2020-11-07 22:39:15.257774,2020-11-07 22:39:19.397219,5.0,0.0013193817845401365,22
23,23,TrialState.COMPLETE,2.3803040981292725,2020-11-07 22:39:19.399214,2020-11-07 22:39:23.774362,5.0,0.08205092795438997,23
24,24,TrialState.COMPLETE,2.1555631160736084,2020-11-07 22:39:23.779322,2020-11-07 22:39:27.940928,5.0,0.0032905559779759105,24
