,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,1.6402283906936646,2020-11-08 14:16:37.432029,2020-11-08 14:16:41.440363,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,2.120239496231079,2020-11-08 14:16:41.441360,2020-11-08 14:16:44.575340,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,1.8825974464416504,2020-11-08 14:16:44.577334,2020-11-08 14:16:48.248116,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,1.4442195892333984,2020-11-08 14:16:48.250111,2020-11-08 14:16:50.914130,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,1.7820725440979004,2020-11-08 14:16:50.916124,2020-11-08 14:16:53.592969,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,1.7693531513214111,2020-11-08 14:16:53.593967,2020-11-08 14:16:56.781917,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,1.3495548963546753,2020-11-08 14:16:56.783910,2020-11-08 14:16:59.851212,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,2.1572389602661133,2020-11-08 14:16:59.853207,2020-11-08 14:17:03.696006,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,1.6955453157424927,2020-11-08 14:17:03.698000,2020-11-08 14:17:07.334363,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,1.4744514226913452,2020-11-08 14:17:07.338352,2020-11-08 14:17:10.176425,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,3.008219003677368,2020-11-08 14:17:10.178421,2020-11-08 14:17:12.624601,10.0,0.44083508239928126,0.4235618410276871,10
11,11,TrialState.COMPLETE,1.4539058208465576,2020-11-08 14:17:12.626596,2020-11-08 14:17:15.376503,25.0,0.3181234840084888,0.0008869040511104071,11
12,12,TrialState.COMPLETE,1.3096541166305542,2020-11-08 14:17:15.379496,2020-11-08 14:17:18.315347,20.0,0.16376442797241736,0.0010069424705032128,12
13,13,TrialState.COMPLETE,1.3176910877227783,2020-11-08 14:17:18.319336,2020-11-08 14:17:20.693870,5.0,0.15167734113676107,0.0018328560916857463,13
14,14,TrialState.COMPLETE,1.3138903379440308,2020-11-08 14:17:20.697859,2020-11-08 14:17:23.088724,5.0,0.8669485971424604,0.0017346004889306548,14
15,15,TrialState.COMPLETE,2.9232592582702637,2020-11-08 14:17:23.091715,2020-11-08 14:17:25.413976,5.0,0.6560017447638866,0.18202659532600185,15
16,16,TrialState.COMPLETE,1.320570945739746,2020-11-08 14:17:25.415971,2020-11-08 14:17:27.951729,5.0,0.25815877009153554,0.0005565703679293192,16
17,17,TrialState.COMPLETE,1.7044336795806885,2020-11-08 14:17:27.953723,2020-11-08 14:17:30.781809,5.0,0.6863865482816898,0.007289367378531004,17
18,18,TrialState.COMPLETE,2.808619499206543,2020-11-08 14:17:30.784800,2020-11-08 14:17:34.085246,20.0,0.9753338915219525,0.1072045907808922,18
19,19,TrialState.COMPLETE,1.3408573865890503,2020-11-08 14:17:34.091231,2020-11-08 14:17:36.768175,5.0,0.987168982135411,0.0003332447348277096,19
20,20,TrialState.COMPLETE,1.4789464473724365,2020-11-08 14:17:36.771169,2020-11-08 14:17:39.729236,20.0,0.17146443258067365,0.003669055573752439,20
21,21,TrialState.COMPLETE,1.395257592201233,2020-11-08 14:17:39.732229,2020-11-08 14:17:42.056165,5.0,0.15982165524676142,0.002898745510814109,21
22,22,TrialState.COMPLETE,1.3324092626571655,2020-11-08 14:17:42.060154,2020-11-08 14:17:44.386340,5.0,0.04096658105955071,0.000268139829316339,22
23,23,TrialState.COMPLETE,1.312487006187439,2020-11-08 14:17:44.390329,2020-11-08 14:17:46.815823,5.0,0.2744765998800298,0.00171171880191105,23
24,24,TrialState.COMPLETE,1.337363362312317,2020-11-08 14:17:46.819812,2020-11-08 14:17:49.361551,5.0,0.4497077480658323,1.1472419084164979e-05,24
