,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,1.5038225650787354,2020-11-08 14:14:53.469592,2020-11-08 14:15:01.677403,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.2851450443267822,2020-11-08 14:15:01.678400,2020-11-08 14:15:03.121428,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,1.4700466394424438,2020-11-08 14:15:03.122425,2020-11-08 14:15:04.748783,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,1.4339866638183594,2020-11-08 14:15:04.748783,2020-11-08 14:15:06.408652,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,1.5554174184799194,2020-11-08 14:15:06.409649,2020-11-08 14:15:07.859131,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,1.50839364528656,2020-11-08 14:15:07.861126,2020-11-08 14:15:09.243827,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,1.594064474105835,2020-11-08 14:15:09.245823,2020-11-08 14:15:10.634693,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,1.5226144790649414,2020-11-08 14:15:10.636687,2020-11-08 14:15:12.053909,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,1.4727095365524292,2020-11-08 14:15:12.054906,2020-11-08 14:15:13.354347,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,1.2960867881774902,2020-11-08 14:15:13.356342,2020-11-08 14:15:14.778442,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,1.6867376565933228,2020-11-08 14:15:14.780436,2020-11-08 14:15:16.330212,5.0,0.6965053202072239,10
11,11,TrialState.COMPLETE,1.3065329790115356,2020-11-08 14:15:16.332207,2020-11-08 14:15:17.841882,40.0,0.002695150403081563,11
12,12,TrialState.COMPLETE,1.2844589948654175,2020-11-08 14:15:17.843878,2020-11-08 14:15:19.249802,15.0,0.001971959151305676,12
13,13,TrialState.COMPLETE,1.6684341430664062,2020-11-08 14:15:19.253793,2020-11-08 14:15:20.724555,20.0,0.2589474101263842,13
14,14,TrialState.COMPLETE,1.3233625888824463,2020-11-08 14:15:20.727547,2020-11-08 14:15:22.117987,15.0,0.004137871754863556,14
15,15,TrialState.COMPLETE,1.4834398031234741,2020-11-08 14:15:22.121977,2020-11-08 14:15:23.406389,5.0,0.00019856894361692991,15
16,16,TrialState.COMPLETE,1.6398805379867554,2020-11-08 14:15:23.408383,2020-11-08 14:15:24.713470,5.0,0.11460590591116848,16
17,17,TrialState.COMPLETE,1.5133603811264038,2020-11-08 14:15:24.717459,2020-11-08 14:15:26.016511,5.0,2.1094971812818357e-05,17
18,18,TrialState.COMPLETE,1.3649777173995972,2020-11-08 14:15:26.019502,2020-11-08 14:15:27.427209,20.0,0.0008741610693236915,18
19,19,TrialState.COMPLETE,1.383663535118103,2020-11-08 14:15:27.429204,2020-11-08 14:15:28.904065,20.0,0.008354241201429953,19
20,20,TrialState.COMPLETE,1.5804861783981323,2020-11-08 14:15:28.906059,2020-11-08 14:15:30.411803,15.0,0.04713441390160779,20
21,21,TrialState.COMPLETE,1.3108071088790894,2020-11-08 14:15:30.413798,2020-11-08 14:15:31.985637,35.0,0.0012085654597591036,21
22,22,TrialState.COMPLETE,1.3007985353469849,2020-11-08 14:15:31.988628,2020-11-08 14:15:33.645648,35.0,0.0013571210261991843,22
23,23,TrialState.COMPLETE,1.3431379795074463,2020-11-08 14:15:33.651633,2020-11-08 14:15:35.481475,35.0,0.005547264101614423,23
24,24,TrialState.COMPLETE,1.4997069835662842,2020-11-08 14:15:35.486462,2020-11-08 14:15:37.276370,35.0,7.123648222844937e-05,24
