,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,1.6274622678756714,2020-11-08 14:44:10.500173,2020-11-08 14:44:14.303819,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,2.1047821044921875,2020-11-08 14:44:14.304815,2020-11-08 14:44:17.365653,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,1.870426058769226,2020-11-08 14:44:17.366651,2020-11-08 14:44:20.828758,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,1.4385050535202026,2020-11-08 14:44:20.829755,2020-11-08 14:44:23.651769,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,1.7876607179641724,2020-11-08 14:44:23.653763,2020-11-08 14:44:26.408054,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,1.7629095315933228,2020-11-08 14:44:26.409052,2020-11-08 14:44:29.464550,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,1.3503285646438599,2020-11-08 14:44:29.467543,2020-11-08 14:44:32.591703,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,2.1413753032684326,2020-11-08 14:44:32.592700,2020-11-08 14:44:36.142565,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,1.6950899362564087,2020-11-08 14:44:36.144559,2020-11-08 14:44:39.514697,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,1.4866106510162354,2020-11-08 14:44:39.516690,2020-11-08 14:44:42.115265,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,2.98539137840271,2020-11-08 14:44:42.117259,2020-11-08 14:44:44.548529,10.0,0.44083508239928126,0.4235618410276871,10
11,11,TrialState.COMPLETE,1.4511243104934692,2020-11-08 14:44:44.549527,2020-11-08 14:44:47.344193,25.0,0.3181234840084888,0.0008869040511104071,11
12,12,TrialState.COMPLETE,1.310814380645752,2020-11-08 14:44:47.347185,2020-11-08 14:44:49.956776,20.0,0.16376442797241736,0.0010069424705032128,12
13,13,TrialState.COMPLETE,1.318808913230896,2020-11-08 14:44:49.959769,2020-11-08 14:44:52.302819,5.0,0.15167734113676107,0.0018328560916857463,13
14,14,TrialState.COMPLETE,1.3150713443756104,2020-11-08 14:44:52.305810,2020-11-08 14:44:54.665017,5.0,0.8669485971424604,0.0017346004889306548,14
15,15,TrialState.COMPLETE,2.901120662689209,2020-11-08 14:44:54.668008,2020-11-08 14:44:57.016272,5.0,0.6560017447638866,0.18202659532600185,15
16,16,TrialState.COMPLETE,1.3218690156936646,2020-11-08 14:44:57.020262,2020-11-08 14:44:59.429145,5.0,0.25815877009153554,0.0005565703679293192,16
17,17,TrialState.COMPLETE,1.695701003074646,2020-11-08 14:44:59.432138,2020-11-08 14:45:02.043112,5.0,0.6863865482816898,0.007289367378531004,17
18,18,TrialState.COMPLETE,2.7872695922851562,2020-11-08 14:45:02.047101,2020-11-08 14:45:05.190415,20.0,0.9753338915219525,0.1072045907808922,18
19,19,TrialState.COMPLETE,1.3416748046875,2020-11-08 14:45:05.195401,2020-11-08 14:45:08.029073,5.0,0.987168982135411,0.0003332447348277096,19
20,20,TrialState.COMPLETE,1.4762823581695557,2020-11-08 14:45:08.034060,2020-11-08 14:45:10.776922,20.0,0.17146443258067365,0.003669055573752439,20
21,21,TrialState.COMPLETE,1.3944966793060303,2020-11-08 14:45:10.779914,2020-11-08 14:45:13.394564,5.0,0.15982165524676142,0.002898745510814109,21
22,22,TrialState.COMPLETE,1.3177356719970703,2020-11-08 14:45:13.399552,2020-11-08 14:45:15.864934,5.0,0.04096658105955071,0.000268139829316339,22
23,23,TrialState.COMPLETE,1.3149559497833252,2020-11-08 14:45:15.870919,2020-11-08 14:45:18.311960,5.0,0.05304543260620873,0.00029455310681473476,23
24,24,TrialState.COMPLETE,1.3488372564315796,2020-11-08 14:45:18.317945,2020-11-08 14:45:21.123048,5.0,0.044187176704279824,1.1472419084164979e-05,24
