,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,1.497247338294983,2020-11-08 14:19:26.081857,2020-11-08 14:19:28.612761,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.287221908569336,2020-11-08 14:19:28.614756,2020-11-08 14:19:30.194708,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,1.4513792991638184,2020-11-08 14:19:30.195705,2020-11-08 14:19:31.902357,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,1.4337491989135742,2020-11-08 14:19:31.903355,2020-11-08 14:19:33.705623,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,1.5446416139602661,2020-11-08 14:19:33.707618,2020-11-08 14:19:35.358009,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,1.5057475566864014,2020-11-08 14:19:35.360002,2020-11-08 14:19:36.884353,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,1.582668662071228,2020-11-08 14:19:36.886348,2020-11-08 14:19:38.441583,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,1.5195571184158325,2020-11-08 14:19:38.443578,2020-11-08 14:19:39.880817,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,1.4640579223632812,2020-11-08 14:19:39.882802,2020-11-08 14:19:41.243533,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,1.2959449291229248,2020-11-08 14:19:41.244531,2020-11-08 14:19:42.695731,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,1.6785238981246948,2020-11-08 14:19:42.698725,2020-11-08 14:19:44.064056,5.0,0.6965053202072239,10
11,11,TrialState.COMPLETE,1.3065495491027832,2020-11-08 14:19:44.067048,2020-11-08 14:19:45.659743,40.0,0.002695150403081563,11
12,12,TrialState.COMPLETE,1.2859523296356201,2020-11-08 14:19:45.662735,2020-11-08 14:19:47.087539,15.0,0.001971959151305676,12
13,13,TrialState.COMPLETE,1.6607948541641235,2020-11-08 14:19:47.089534,2020-11-08 14:19:48.637092,20.0,0.2589474101263842,13
14,14,TrialState.COMPLETE,1.3246517181396484,2020-11-08 14:19:48.640084,2020-11-08 14:19:50.067218,15.0,0.004137871754863556,14
15,15,TrialState.COMPLETE,1.4739460945129395,2020-11-08 14:19:50.070210,2020-11-08 14:19:51.439828,5.0,0.00019856894361692991,15
16,16,TrialState.COMPLETE,1.6331509351730347,2020-11-08 14:19:51.443818,2020-11-08 14:19:52.871745,5.0,0.11460590591116848,16
17,17,TrialState.COMPLETE,1.505269169807434,2020-11-08 14:19:52.873740,2020-11-08 14:19:54.232649,5.0,2.1094971812818357e-05,17
18,18,TrialState.COMPLETE,1.3699164390563965,2020-11-08 14:19:54.233646,2020-11-08 14:19:55.738401,20.0,0.0008741610693236915,18
19,19,TrialState.COMPLETE,1.3846124410629272,2020-11-08 14:19:55.743387,2020-11-08 14:19:57.650406,20.0,0.008354241201429953,19
20,20,TrialState.COMPLETE,1.5756592750549316,2020-11-08 14:19:57.662373,2020-11-08 14:19:59.733419,15.0,0.04713441390160779,20
21,21,TrialState.COMPLETE,1.3026238679885864,2020-11-08 14:19:59.737409,2020-11-08 14:20:01.535394,35.0,0.0012085654597591036,21
22,22,TrialState.COMPLETE,1.2933708429336548,2020-11-08 14:20:01.538385,2020-11-08 14:20:03.239838,35.0,0.0013571210261991843,22
23,23,TrialState.COMPLETE,1.4307715892791748,2020-11-08 14:20:03.242829,2020-11-08 14:20:04.882135,20.0,0.0005087773447438386,23
24,24,TrialState.COMPLETE,1.5440924167633057,2020-11-08 14:20:04.885127,2020-11-08 14:20:06.434904,15.0,6.228099206389117e-05,24
