,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,2.141608953475952,2020-11-08 14:48:29.921911,2020-11-08 14:48:33.861963,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,3.099398136138916,2020-11-08 14:48:33.862960,2020-11-08 14:48:36.833858,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,2.7447056770324707,2020-11-08 14:48:36.834855,2020-11-08 14:48:40.188512,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,1.7471380233764648,2020-11-08 14:48:40.189510,2020-11-08 14:48:42.716080,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,2.1040031909942627,2020-11-08 14:48:42.718067,2020-11-08 14:48:45.304713,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,2.211728572845459,2020-11-08 14:48:45.306707,2020-11-08 14:48:48.651553,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,1.7839852571487427,2020-11-08 14:48:48.654545,2020-11-08 14:48:52.200953,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,3.1564996242523193,2020-11-08 14:48:52.202947,2020-11-08 14:48:55.800174,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,2.1413207054138184,2020-11-08 14:48:55.803166,2020-11-08 14:48:59.193707,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,1.8753271102905273,2020-11-08 14:48:59.195703,2020-11-08 14:49:01.918463,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,1.6403101682662964,2020-11-08 14:49:01.920458,2020-11-08 14:49:04.742575,5.0,0.8476613775281227,0.0008604131501987842,10
11,11,TrialState.COMPLETE,1.6213289499282837,2020-11-08 14:49:04.746564,2020-11-08 14:49:07.506081,5.0,0.8350780060252924,0.0005809480397369592,11
12,12,TrialState.COMPLETE,1.6559785604476929,2020-11-08 14:49:07.507078,2020-11-08 14:49:09.878402,5.0,0.9193359212006599,0.0012266824249063276,12
13,13,TrialState.COMPLETE,4.575315952301025,2020-11-08 14:49:09.880397,2020-11-08 14:49:12.171524,5.0,0.9992662067741207,0.23939992902357565,13
14,14,TrialState.COMPLETE,1.6039124727249146,2020-11-08 14:49:12.174516,2020-11-08 14:49:14.454470,5.0,0.35728438016442643,0.0004272860149323405,14
15,15,TrialState.COMPLETE,1.6022592782974243,2020-11-08 14:49:14.457463,2020-11-08 14:49:16.850596,5.0,0.27758607166367283,0.00034707914077753327,15
16,16,TrialState.COMPLETE,1.7556638717651367,2020-11-08 14:49:16.854586,2020-11-08 14:49:19.918062,20.0,0.2855910075319659,1.2390588283969352e-06,16
17,17,TrialState.COMPLETE,2.5061824321746826,2020-11-08 14:49:19.922054,2020-11-08 14:49:22.262324,5.0,0.32303407413336893,0.008016319225382366,17
18,18,TrialState.COMPLETE,1.5462775230407715,2020-11-08 14:49:22.264317,2020-11-08 14:49:24.536378,5.0,0.3652389909987681,5.0816855783313745e-06,18
19,19,TrialState.COMPLETE,1.846196174621582,2020-11-08 14:49:24.538372,2020-11-08 14:49:27.135297,20.0,0.001092014091354,7.276751541416424e-06,19
20,20,TrialState.COMPLETE,4.650999546051025,2020-11-08 14:49:27.137291,2020-11-08 14:49:29.565846,5.0,0.15873555867306993,0.6958262431252907,20
21,21,TrialState.COMPLETE,1.587048053741455,2020-11-08 14:49:29.570831,2020-11-08 14:49:32.388475,5.0,0.3520091344275809,0.00022662014209131156,21
22,22,TrialState.COMPLETE,1.724568486213684,2020-11-08 14:49:32.391467,2020-11-08 14:49:35.285323,20.0,0.49049091397051786,1.0389184843106202e-05,22
23,23,TrialState.COMPLETE,2.0345356464385986,2020-11-08 14:49:35.290309,2020-11-08 14:49:38.129187,5.0,0.1326312713988874,0.004098698046204124,23
24,24,TrialState.COMPLETE,1.602414608001709,2020-11-08 14:49:38.140157,2020-11-08 14:49:40.582867,5.0,0.5195487137775933,0.00028333595976820606,24
