,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,1.8418651819229126,2020-11-08 14:47:03.243748,2020-11-08 14:47:05.761593,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.584905743598938,2020-11-08 14:47:05.762590,2020-11-08 14:47:07.231807,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,1.9140554666519165,2020-11-08 14:47:07.232804,2020-11-08 14:47:08.712776,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,1.6655573844909668,2020-11-08 14:47:08.713773,2020-11-08 14:47:10.270726,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,1.8417067527770996,2020-11-08 14:47:10.271723,2020-11-08 14:47:11.676690,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,1.764390230178833,2020-11-08 14:47:11.677686,2020-11-08 14:47:13.078568,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,1.879996418952942,2020-11-08 14:47:13.080563,2020-11-08 14:47:14.489969,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,1.7831127643585205,2020-11-08 14:47:14.491964,2020-11-08 14:47:15.924960,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,1.6967308521270752,2020-11-08 14:47:15.925958,2020-11-08 14:47:17.255195,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,1.6130088567733765,2020-11-08 14:47:17.257187,2020-11-08 14:47:18.734538,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,2.024935483932495,2020-11-08 14:47:18.736533,2020-11-08 14:47:20.145565,5.0,0.6965053202072239,10
11,11,TrialState.COMPLETE,1.5320688486099243,2020-11-08 14:47:20.148558,2020-11-08 14:47:21.688089,40.0,0.002695150403081563,11
12,12,TrialState.COMPLETE,1.5138421058654785,2020-11-08 14:47:21.690084,2020-11-08 14:47:23.358443,50.0,0.0030830628433828537,12
13,13,TrialState.COMPLETE,2.0039749145507812,2020-11-08 14:47:23.360438,2020-11-08 14:47:24.961276,50.0,0.3054418501933924,13
14,14,TrialState.COMPLETE,1.515621304512024,2020-11-08 14:47:24.962274,2020-11-08 14:47:26.524305,50.0,0.003799648503551659,14
15,15,TrialState.COMPLETE,1.956296682357788,2020-11-08 14:47:26.526301,2020-11-08 14:47:28.138828,50.0,0.1256162184326294,15
16,16,TrialState.COMPLETE,1.6168714761734009,2020-11-08 14:47:28.141819,2020-11-08 14:47:29.893907,50.0,0.009427017627478596,16
17,17,TrialState.COMPLETE,1.8796160221099854,2020-11-08 14:47:29.895901,2020-11-08 14:47:31.638951,45.0,0.00026361641248430403,17
18,18,TrialState.COMPLETE,1.959299087524414,2020-11-08 14:47:31.640945,2020-11-08 14:47:33.305791,45.0,0.1310748913993269,18
19,19,TrialState.COMPLETE,1.5622265338897705,2020-11-08 14:47:33.308780,2020-11-08 14:47:34.947972,40.0,0.005897480001420417,19
20,20,TrialState.COMPLETE,1.7966184616088867,2020-11-08 14:47:34.949966,2020-11-08 14:47:36.630545,40.0,0.0006526951280769111,20
21,21,TrialState.COMPLETE,1.5161479711532593,2020-11-08 14:47:36.635532,2020-11-08 14:47:38.414923,50.0,0.003831160508252739,21
22,22,TrialState.COMPLETE,1.9003088474273682,2020-11-08 14:47:38.418912,2020-11-08 14:47:40.067138,50.0,0.06651649581426668,22
23,23,TrialState.COMPLETE,1.5354976654052734,2020-11-08 14:47:40.070130,2020-11-08 14:47:41.788861,50.0,0.004633603852186943,23
24,24,TrialState.COMPLETE,1.688197135925293,2020-11-08 14:47:41.793847,2020-11-08 14:47:43.636284,50.0,0.0008842937136591993,24
