,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,1.3001632690429688,2020-11-08 14:52:28.782336,2020-11-08 14:52:33.139943,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.527976632118225,2020-11-08 14:52:33.140941,2020-11-08 14:52:36.167757,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,1.3840497732162476,2020-11-08 14:52:36.169752,2020-11-08 14:52:39.597251,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,1.1331707239151,2020-11-08 14:52:39.598248,2020-11-08 14:52:42.201560,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,1.397861361503601,2020-11-08 14:52:42.203555,2020-11-08 14:52:44.917300,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,1.419110655784607,2020-11-08 14:52:44.919295,2020-11-08 14:52:48.113494,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,1.0792337656021118,2020-11-08 14:52:48.115489,2020-11-08 14:52:51.494188,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,1.5528608560562134,2020-11-08 14:52:51.495186,2020-11-08 14:52:54.611366,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,1.3448495864868164,2020-11-08 14:52:54.612363,2020-11-08 14:52:57.588470,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,1.1585638523101807,2020-11-08 14:52:57.589467,2020-11-08 14:53:00.321285,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,2.3053109645843506,2020-11-08 14:53:00.322281,2020-11-08 14:53:02.992786,10.0,0.44083508239928126,0.4235618410276871,10
11,11,TrialState.COMPLETE,1.1713522672653198,2020-11-08 14:53:02.995779,2020-11-08 14:53:05.924216,25.0,0.3181234840084888,0.0008869040511104071,11
12,12,TrialState.COMPLETE,1.069446325302124,2020-11-08 14:53:05.926212,2020-11-08 14:53:08.816105,20.0,0.16376442797241736,0.0010069424705032128,12
13,13,TrialState.COMPLETE,1.0910735130310059,2020-11-08 14:53:08.819097,2020-11-08 14:53:11.149180,5.0,0.15167734113676107,0.0018328560916857463,13
14,14,TrialState.COMPLETE,1.0855512619018555,2020-11-08 14:53:11.152171,2020-11-08 14:53:13.410298,5.0,0.8669485971424604,0.0014690501429088475,14
15,15,TrialState.COMPLETE,2.2249748706817627,2020-11-08 14:53:13.413289,2020-11-08 14:53:16.276150,25.0,0.0661512582882617,0.22007839371577828,15
16,16,TrialState.COMPLETE,1.0958539247512817,2020-11-08 14:53:16.278144,2020-11-08 14:53:19.053904,20.0,0.9106538481104626,0.0005565703679293192,16
17,17,TrialState.COMPLETE,1.2468138933181763,2020-11-08 14:53:19.055895,2020-11-08 14:53:21.677056,20.0,0.23132257607614243,0.005956446297868049,17
18,18,TrialState.COMPLETE,2.1056885719299316,2020-11-08 14:53:21.679050,2020-11-08 14:53:24.699775,35.0,0.059293765166313225,0.11770732146860838,18
19,19,TrialState.COMPLETE,1.1864051818847656,2020-11-08 14:53:24.704762,2020-11-08 14:53:27.292215,20.0,0.0014331731429049765,0.0003248266008638254,19
20,20,TrialState.COMPLETE,1.1861686706542969,2020-11-08 14:53:27.296206,2020-11-08 14:53:30.401632,35.0,0.575942050359114,0.004563657380148449,20
21,21,TrialState.COMPLETE,1.0974494218826294,2020-11-08 14:53:30.406619,2020-11-08 14:53:32.912210,5.0,0.9938442274143057,0.002231914117940903,21
22,22,TrialState.COMPLETE,1.1112382411956787,2020-11-08 14:53:32.915202,2020-11-08 14:53:35.425743,5.0,0.13229317558413967,0.0003155679299318378,22
23,23,TrialState.COMPLETE,1.8867591619491577,2020-11-08 14:53:35.430730,2020-11-08 14:53:38.026758,5.0,0.037147558782967896,0.05485535033068973,23
24,24,TrialState.COMPLETE,1.116318702697754,2020-11-08 14:53:38.029750,2020-11-08 14:53:40.714277,20.0,0.6110425473393029,0.003287837057204353,24
