,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,1.1425992250442505,2020-11-08 14:50:42.870503,2020-11-08 14:50:45.244955,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.059854507446289,2020-11-08 14:50:45.245952,2020-11-08 14:50:46.635277,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,1.133898138999939,2020-11-08 14:50:46.636275,2020-11-08 14:50:48.237950,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,1.2366129159927368,2020-11-08 14:50:48.238947,2020-11-08 14:50:49.838919,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,1.194973349571228,2020-11-08 14:50:49.839915,2020-11-08 14:50:51.230855,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,1.308519721031189,2020-11-08 14:50:51.231852,2020-11-08 14:50:52.639378,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,1.222733974456787,2020-11-08 14:50:52.641373,2020-11-08 14:50:53.994051,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,1.3225466012954712,2020-11-08 14:50:53.996045,2020-11-08 14:50:55.392824,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,1.1478767395019531,2020-11-08 14:50:55.394335,2020-11-08 14:50:56.737956,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,1.0536935329437256,2020-11-08 14:50:56.738954,2020-11-08 14:50:58.173127,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,1.4824618101119995,2020-11-08 14:50:58.175123,2020-11-08 14:50:59.819102,40.0,0.4235618410276871,10
11,11,TrialState.COMPLETE,1.0621143579483032,2020-11-08 14:50:59.822095,2020-11-08 14:51:01.262181,10.0,0.0023116048973968657,11
12,12,TrialState.COMPLETE,1.0493162870407104,2020-11-08 14:51:01.264176,2020-11-08 14:51:02.724224,5.0,0.001971959151305676,12
13,13,TrialState.COMPLETE,1.4715197086334229,2020-11-08 14:51:02.727216,2020-11-08 14:51:04.234190,10.0,0.2589474101263842,13
14,14,TrialState.COMPLETE,1.1598625183105469,2020-11-08 14:51:04.238178,2020-11-08 14:51:05.648329,5.0,0.006149095439128331,14
15,15,TrialState.COMPLETE,1.1251540184020996,2020-11-08 14:51:05.649326,2020-11-08 14:51:07.041465,5.0,0.0003119583643028578,15
16,16,TrialState.COMPLETE,1.43785560131073,2020-11-08 14:51:07.043460,2020-11-08 14:51:08.623735,35.0,0.109446049347912,16
17,17,TrialState.COMPLETE,1.153833031654358,2020-11-08 14:51:08.626726,2020-11-08 14:51:09.975186,5.0,4.884152742081243e-05,17
18,18,TrialState.COMPLETE,1.0569658279418945,2020-11-08 14:51:09.978177,2020-11-08 14:51:11.469458,35.0,0.000927377907329977,18
19,19,TrialState.COMPLETE,1.4009357690811157,2020-11-08 14:51:11.475443,2020-11-08 14:51:12.788952,5.0,0.06097691150827278,19
20,20,TrialState.COMPLETE,1.1282808780670166,2020-11-08 14:51:12.791945,2020-11-08 14:51:14.348351,35.0,0.004097677410338877,20
21,21,TrialState.COMPLETE,1.0700955390930176,2020-11-08 14:51:14.351341,2020-11-08 14:51:15.950821,35.0,0.0007110292512184057,21
22,22,TrialState.COMPLETE,1.0543959140777588,2020-11-08 14:51:15.953813,2020-11-08 14:51:17.744247,35.0,0.0009950172386446225,22
23,23,TrialState.COMPLETE,1.134718656539917,2020-11-08 14:51:17.748237,2020-11-08 14:51:20.013508,35.0,0.00013594430808954502,23
24,24,TrialState.COMPLETE,1.171940565109253,2020-11-08 14:51:20.016500,2020-11-08 14:51:21.698870,35.0,0.007059206554504249,24
