,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,1.5959067344665527,2020-11-08 15:09:44.245249,2020-11-08 15:09:48.283993,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,2.1323249340057373,2020-11-08 15:09:48.284990,2020-11-08 15:09:51.359147,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,1.890750527381897,2020-11-08 15:09:51.360144,2020-11-08 15:09:54.736629,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,1.3665491342544556,2020-11-08 15:09:54.737627,2020-11-08 15:09:57.512090,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,1.6655603647232056,2020-11-08 15:09:57.514085,2020-11-08 15:10:00.869367,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,1.7017755508422852,2020-11-08 15:10:00.871362,2020-11-08 15:10:04.266820,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,1.3138492107391357,2020-11-08 15:10:04.267817,2020-11-08 15:10:07.349909,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,2.171931028366089,2020-11-08 15:10:07.351904,2020-11-08 15:10:10.874273,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,1.6391115188598633,2020-11-08 15:10:10.875271,2020-11-08 15:10:13.803894,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,1.3817503452301025,2020-11-08 15:10:13.804891,2020-11-08 15:10:16.285890,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,3.2730109691619873,2020-11-08 15:10:16.287884,2020-11-08 15:10:18.725834,10.0,0.44083508239928126,0.4235618410276871,10
11,11,TrialState.COMPLETE,1.398690938949585,2020-11-08 15:10:18.728826,2020-11-08 15:10:21.530036,25.0,0.3181234840084888,0.0008869040511104071,11
12,12,TrialState.COMPLETE,1.2673474550247192,2020-11-08 15:10:21.533000,2020-11-08 15:10:24.314742,20.0,0.16376442797241736,0.0010069424705032128,12
13,13,TrialState.COMPLETE,1.283862590789795,2020-11-08 15:10:24.317734,2020-11-08 15:10:26.691174,5.0,0.15167734113676107,0.0018328560916857463,13
14,14,TrialState.COMPLETE,1.2810287475585938,2020-11-08 15:10:26.693168,2020-11-08 15:10:29.049774,5.0,0.8669485971424604,0.0017346004889306548,14
15,15,TrialState.COMPLETE,3.1235833168029785,2020-11-08 15:10:29.051768,2020-11-08 15:10:32.019701,5.0,0.6560017447638866,0.18202659532600185,15
16,16,TrialState.COMPLETE,1.289605975151062,2020-11-08 15:10:32.021695,2020-11-08 15:10:34.502466,5.0,0.25815877009153554,0.0005565703679293192,16
17,17,TrialState.COMPLETE,1.6986947059631348,2020-11-08 15:10:34.506456,2020-11-08 15:10:36.988064,5.0,0.6863865482816898,0.007289367378531004,17
18,18,TrialState.COMPLETE,2.9658002853393555,2020-11-08 15:10:36.991056,2020-11-08 15:10:39.897266,20.0,0.9753338915219525,0.1072045907808922,18
19,19,TrialState.COMPLETE,1.308434009552002,2020-11-08 15:10:39.902254,2020-11-08 15:10:42.401914,5.0,0.987168982135411,0.0003332447348277096,19
20,20,TrialState.COMPLETE,1.4329307079315186,2020-11-08 15:10:42.405903,2020-11-08 15:10:45.135938,20.0,0.17146443258067365,0.003669055573752439,20
21,21,TrialState.COMPLETE,1.3568620681762695,2020-11-08 15:10:45.140924,2020-11-08 15:10:47.442072,5.0,0.15982165524676142,0.002898745510814109,21
22,22,TrialState.COMPLETE,1.2931381464004517,2020-11-08 15:10:47.444092,2020-11-08 15:10:49.699307,5.0,0.04096658105955071,0.000268139829316339,22
23,23,TrialState.COMPLETE,1.2798609733581543,2020-11-08 15:10:49.701302,2020-11-08 15:10:51.961842,5.0,0.2744765998800298,0.00171171880191105,23
24,24,TrialState.COMPLETE,1.2554150819778442,2020-11-08 15:10:51.965831,2020-11-08 15:10:54.251252,5.0,0.4497077480658323,1.1472419084164979e-05,24
