,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,1.3530213832855225,2020-11-08 15:08:18.834537,2020-11-08 15:08:21.182079,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.2317832708358765,2020-11-08 15:08:21.183077,2020-11-08 15:08:22.564401,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,1.3657410144805908,2020-11-08 15:08:22.565399,2020-11-08 15:08:24.094799,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,1.4203795194625854,2020-11-08 15:08:24.095796,2020-11-08 15:08:25.752150,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,1.4082462787628174,2020-11-08 15:08:25.753146,2020-11-08 15:08:27.147102,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,1.49979829788208,2020-11-08 15:08:27.148099,2020-11-08 15:08:28.601435,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,1.4386706352233887,2020-11-08 15:08:28.603428,2020-11-08 15:08:30.227497,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,1.5150953531265259,2020-11-08 15:08:30.229491,2020-11-08 15:08:31.735782,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,1.3353455066680908,2020-11-08 15:08:31.736780,2020-11-08 15:08:33.153230,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,1.2523036003112793,2020-11-08 15:08:33.155223,2020-11-08 15:08:34.769168,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,1.7014365196228027,2020-11-08 15:08:34.771162,2020-11-08 15:08:36.219781,5.0,0.6965053202072239,10
11,11,TrialState.COMPLETE,1.2423633337020874,2020-11-08 15:08:36.221776,2020-11-08 15:08:37.865445,40.0,0.002695150403081563,11
12,12,TrialState.COMPLETE,1.2560546398162842,2020-11-08 15:08:37.866442,2020-11-08 15:08:39.575611,50.0,0.0030830628433828537,12
13,13,TrialState.COMPLETE,1.6817574501037598,2020-11-08 15:08:39.578603,2020-11-08 15:08:41.010296,20.0,0.2670110106362414,13
14,14,TrialState.COMPLETE,1.3329981565475464,2020-11-08 15:08:41.012289,2020-11-08 15:08:42.387369,15.0,0.006149095439128331,14
15,15,TrialState.COMPLETE,1.330877423286438,2020-11-08 15:08:42.389363,2020-11-08 15:08:43.723829,5.0,0.00034280304270377566,15
16,16,TrialState.COMPLETE,1.6434259414672852,2020-11-08 15:08:43.726797,2020-11-08 15:08:45.354778,45.0,0.109446049347912,16
17,17,TrialState.COMPLETE,1.4023820161819458,2020-11-08 15:08:45.355776,2020-11-08 15:08:46.881192,40.0,6.675354417365254e-05,17
18,18,TrialState.COMPLETE,1.2569494247436523,2020-11-08 15:08:46.884184,2020-11-08 15:08:48.194370,5.0,0.0011595403150986973,18
19,19,TrialState.COMPLETE,1.6260015964508057,2020-11-08 15:08:48.197362,2020-11-08 15:08:49.509868,5.0,0.08333942795994322,19
20,20,TrialState.COMPLETE,1.319419264793396,2020-11-08 15:08:49.511862,2020-11-08 15:08:50.940203,20.0,0.005363655271985427,20
21,21,TrialState.COMPLETE,1.2667524814605713,2020-11-08 15:08:50.943195,2020-11-08 15:08:52.432518,35.0,0.0010357777872761756,21
22,22,TrialState.COMPLETE,1.2331539392471313,2020-11-08 15:08:52.436507,2020-11-08 15:08:53.962925,35.0,0.0024708128514721863,22
23,23,TrialState.COMPLETE,1.349660873413086,2020-11-08 15:08:53.965914,2020-11-08 15:08:55.485788,35.0,8.106392257030916e-05,23
24,24,TrialState.COMPLETE,1.2546665668487549,2020-11-08 15:08:55.489777,2020-11-08 15:08:57.095727,50.0,0.0030539112803796213,24
