,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,dim,epsilon,lam,_number
0,0,TrialState.COMPLETE,1.6160626411437988,2020-11-08 16:22:17.863242,2020-11-08 16:22:21.861985,35.0,0.004792414358623589,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,2.149474620819092,2020-11-08 16:22:21.861985,2020-11-08 16:22:24.702851,30.0,0.018591711878786353,0.020740241962891866,1
2,2,TrialState.COMPLETE,1.9051951169967651,2020-11-08 16:22:24.703847,2020-11-08 16:22:28.153490,50.0,0.02772015819815348,0.012852228299703642,2
3,3,TrialState.COMPLETE,1.3734019994735718,2020-11-08 16:22:28.154489,2020-11-08 16:22:31.186218,20.0,0.15386828816779854,0.00011456925707187318,3
4,4,TrialState.COMPLETE,1.6874678134918213,2020-11-08 16:22:31.192202,2020-11-08 16:22:34.409894,25.0,0.015636255777290338,2.28069588857812e-06,4
5,5,TrialState.COMPLETE,1.7091732025146484,2020-11-08 16:22:34.410891,2020-11-08 16:22:37.820994,40.0,0.0033601237200293547,1.244372436579104e-05,5
6,6,TrialState.COMPLETE,1.316848874092102,2020-11-08 16:22:37.821992,2020-11-08 16:22:40.910467,30.0,0.08002079756292473,0.0015522637752063604,6
7,7,TrialState.COMPLETE,2.1894545555114746,2020-11-08 16:22:40.911436,2020-11-08 16:22:44.262624,45.0,0.06808799287054752,0.022219380652616364,7
8,8,TrialState.COMPLETE,1.644919514656067,2020-11-08 16:22:44.265616,2020-11-08 16:22:47.433391,40.0,0.012172112758475458,8.664699052148592e-05,8
9,9,TrialState.COMPLETE,1.4214144945144653,2020-11-08 16:22:47.434416,2020-11-08 16:22:49.989218,15.0,0.07814989008992036,5.7847457853087736e-05,9
10,10,TrialState.COMPLETE,3.2981574535369873,2020-11-08 16:22:49.990243,2020-11-08 16:22:52.488880,10.0,0.44083508239928126,0.4235618410276871,10
11,11,TrialState.COMPLETE,1.4047749042510986,2020-11-08 16:22:52.490874,2020-11-08 16:22:55.193280,25.0,0.3181234840084888,0.0008869040511104071,11
12,12,TrialState.COMPLETE,1.2702901363372803,2020-11-08 16:22:55.195276,2020-11-08 16:22:57.974602,20.0,0.16376442797241736,0.0010069424705032128,12
13,13,TrialState.COMPLETE,1.287452220916748,2020-11-08 16:22:57.976597,2020-11-08 16:23:00.540270,5.0,0.15167734113676107,0.0018328560916857463,13
14,14,TrialState.COMPLETE,1.2842448949813843,2020-11-08 16:23:00.542265,2020-11-08 16:23:03.218618,5.0,0.8669485971424604,0.0017346004889306548,14
15,15,TrialState.COMPLETE,3.147674322128296,2020-11-08 16:23:03.223603,2020-11-08 16:23:05.812499,5.0,0.6560017447638866,0.18202659532600185,15
16,16,TrialState.COMPLETE,1.2937852144241333,2020-11-08 16:23:05.814494,2020-11-08 16:23:08.360086,5.0,0.25815877009153554,0.0005565703679293192,16
17,17,TrialState.COMPLETE,1.7099173069000244,2020-11-08 16:23:08.362080,2020-11-08 16:23:10.694540,5.0,0.6863865482816898,0.007289367378531004,17
18,18,TrialState.COMPLETE,2.9888908863067627,2020-11-08 16:23:10.696534,2020-11-08 16:23:13.294334,20.0,0.9753338915219525,0.1072045907808922,18
19,19,TrialState.COMPLETE,1.3145537376403809,2020-11-08 16:23:13.296328,2020-11-08 16:23:15.584446,5.0,0.987168982135411,0.0003332447348277096,19
20,20,TrialState.COMPLETE,1.4389920234680176,2020-11-08 16:23:15.586439,2020-11-08 16:23:18.163829,20.0,0.17146443258067365,0.003669055573752439,20
21,21,TrialState.COMPLETE,1.3616983890533447,2020-11-08 16:23:18.167819,2020-11-08 16:23:20.512162,5.0,0.15982165524676142,0.002898745510814109,21
22,22,TrialState.COMPLETE,1.2886935472488403,2020-11-08 16:23:20.516154,2020-11-08 16:23:22.770458,5.0,0.04096658105955071,0.000268139829316339,22
23,23,TrialState.COMPLETE,1.2833070755004883,2020-11-08 16:23:22.774446,2020-11-08 16:23:25.107116,5.0,0.2744765998800298,0.00171171880191105,23
24,24,TrialState.COMPLETE,1.270708441734314,2020-11-08 16:23:25.111105,2020-11-08 16:23:27.392873,5.0,0.4497077480658323,1.1472419084164979e-05,24
