,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,dim,lam,_number
0,0,TrialState.COMPLETE,1.363423466682434,2020-11-08 16:15:40.076747,2020-11-08 16:15:42.400112,35.0,5.2099794429254386e-05,0
1,1,TrialState.COMPLETE,1.239686131477356,2020-11-08 16:15:42.401108,2020-11-08 16:15:43.777850,15.0,0.0020318358298265986,1
2,2,TrialState.COMPLETE,1.3774070739746094,2020-11-08 16:15:43.777850,2020-11-08 16:15:45.331883,40.0,0.00034565175058380555,2
3,3,TrialState.COMPLETE,1.4229843616485596,2020-11-08 16:15:45.332879,2020-11-08 16:15:47.015692,50.0,0.012852228299703642,3
4,4,TrialState.COMPLETE,1.418931007385254,2020-11-08 16:15:47.016689,2020-11-08 16:15:48.582021,25.0,0.00022527090779355367,4
5,5,TrialState.COMPLETE,1.5043303966522217,2020-11-08 16:15:48.583019,2020-11-08 16:15:50.098669,20.0,0.02367545010368869,5
6,6,TrialState.COMPLETE,1.4499928951263428,2020-11-08 16:15:50.100663,2020-11-08 16:15:51.702820,25.0,2.28069588857812e-06,6
7,7,TrialState.COMPLETE,1.5200291872024536,2020-11-08 16:15:51.703817,2020-11-08 16:15:53.089831,20.0,0.026789982776216612,7
8,8,TrialState.COMPLETE,1.348588466644287,2020-11-08 16:15:53.090828,2020-11-08 16:15:54.393971,10.0,1.1290431413903908e-05,8
9,9,TrialState.COMPLETE,1.2610540390014648,2020-11-08 16:15:54.395965,2020-11-08 16:15:55.851029,30.0,0.0015522637752063604,9
10,10,TrialState.COMPLETE,1.7116191387176514,2020-11-08 16:15:55.853024,2020-11-08 16:15:57.167864,5.0,0.6965053202072239,10
11,11,TrialState.COMPLETE,1.2464570999145508,2020-11-08 16:15:57.168862,2020-11-08 16:15:58.682997,40.0,0.002695150403081563,11
12,12,TrialState.COMPLETE,1.2574260234832764,2020-11-08 16:15:58.684990,2020-11-08 16:16:00.534211,50.0,0.0030830628433828537,12
13,13,TrialState.COMPLETE,1.6914052963256836,2020-11-08 16:16:00.535208,2020-11-08 16:16:02.255956,20.0,0.2670110106362414,13
14,14,TrialState.COMPLETE,1.334487795829773,2020-11-08 16:16:02.257952,2020-11-08 16:16:03.878037,15.0,0.006149095439128331,14
15,15,TrialState.COMPLETE,1.3524773120880127,2020-11-08 16:16:03.880032,2020-11-08 16:16:05.652829,5.0,0.00034280304270377566,15
16,16,TrialState.COMPLETE,1.6519429683685303,2020-11-08 16:16:05.655821,2020-11-08 16:16:07.442912,45.0,0.109446049347912,16
17,17,TrialState.COMPLETE,1.4139798879623413,2020-11-08 16:16:07.444906,2020-11-08 16:16:09.283250,40.0,6.675354417365254e-05,17
18,18,TrialState.COMPLETE,1.2719753980636597,2020-11-08 16:16:09.285245,2020-11-08 16:16:10.723101,5.0,0.0011595403150986973,18
19,19,TrialState.COMPLETE,1.6339975595474243,2020-11-08 16:16:10.725097,2020-11-08 16:16:12.065726,5.0,0.08333942795994322,19
20,20,TrialState.COMPLETE,1.3211095333099365,2020-11-08 16:16:12.067720,2020-11-08 16:16:13.519599,20.0,0.005363655271985427,20
21,21,TrialState.COMPLETE,1.2421189546585083,2020-11-08 16:16:13.521594,2020-11-08 16:16:15.477022,50.0,0.002423980275847408,21
22,22,TrialState.COMPLETE,1.3095885515213013,2020-11-08 16:16:15.481012,2020-11-08 16:16:17.232780,50.0,0.0007224174914574774,22
23,23,TrialState.COMPLETE,1.4015171527862549,2020-11-08 16:16:17.236770,2020-11-08 16:16:19.102309,50.0,9.324500081394161e-05,23
24,24,TrialState.COMPLETE,1.2419806718826294,2020-11-08 16:16:19.104304,2020-11-08 16:16:20.744964,50.0,0.002389617554184788,24
